point_index,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,requested_velocity_percent,requested_acceleration_percent
223,-150.324014134,65.7762519792,200.061,-179.945,-0.097,117.508959754,100,80
224,-149.568861004,65.6299786485,200.061,-179.945,-0.097,118.503207739,100,80
225,-148.811315551,65.496802041,200.061,-179.945,-0.097,119.497455724,100,80
226,-148.051604888,65.3767611435,200.061,-179.945,-0.097,120.491703709,100,80
227,-147.289956758,65.2698910049,200.061,-179.945,-0.097,121.485951694,100,80
228,-146.526599469,65.176222726,200.061,-179.945,-0.097,122.480199678,100,80
229,-145.761761828,65.0957834503,200.061,-179.945,-0.097,123.474447663,100,80
230,-144.995673065,65.0285963565,200.061,-179.945,-0.097,124.468695648,100,80
231,-144.228562772,64.9746806515,200.061,-179.945,-0.097,125.462943633,100,80
232,-143.460660831,64.9340515651,200.061,-179.945,-0.097,126.457191618,100,80
233,-142.692197343,64.9067203454,200.061,-179.945,-0.097,127.451439602,100,80
234,-141.923402562,64.8926942565,200.061,-179.945,-0.097,128.445687587,100,80
235,-141.154506827,64.8919765756,200.061,-179.945,-0.097,129.439935572,100,80
236,-140.385740488,64.9045665931,200.061,-179.945,-0.097,130.434183557,100,80
237,-139.617333843,64.9304596125,200.061,-179.945,-0.097,131.428431542,100,80
238,-138.849517064,64.9696469526,200.061,-179.945,-0.097,132.422679526,100,80
239,-138.082520133,65.02211595,200.061,-179.945,-0.097,133.416927511,100,80
240,-137.316572766,65.0878499633,200.061,-179.945,-0.097,134.411175496,100,80
241,-136.551904352,65.1668283784,200.061,-179.945,-0.097,135.405423481,100,80
242,-135.788743881,65.259026615,200.061,-179.945,-0.097,136.399671466,100,80
243,-135.027319873,65.364416134,200.061,-179.945,-0.097,137.39391945,100,80
244,-134.267860313,65.4829644468,200.061,-179.945,-0.097,138.388167435,100,80
245,-133.510592581,65.6146351247,200.061,-179.945,-0.097,139.38241542,100,80
246,-132.755743387,65.7593878105,200.061,-179.945,-0.097,140.376663405,100,80
247,-132.003538697,65.9171782309,200.061,-179.945,-0.097,141.370911389,100,80
248,-131.254203672,66.0879582096,200.061,-179.945,-0.097,142.365159374,100,80
249,-130.507962595,66.2716756827,200.061,-179.945,-0.097,143.359407359,100,80
250,-129.765038808,66.4682747138,200.061,-179.945,-0.097,144.353655344,100,80
251,-129.025654644,66.6776955117,200.061,-179.945,-0.097,145.347903329,100,80
252,-128.290031359,66.899874448,200.061,-179.945,-0.097,146.342151313,100,80
253,-127.558389067,67.1347440771,200.061,-179.945,-0.097,147.336399298,100,80
254,-126.830946676,67.3822331559,200.061,-179.945,-0.097,148.330647283,100,80
255,-126.107921817,67.6422666661,200.061,-179.945,-0.097,149.324895268,100,80
256,-125.389530785,67.9147658365,200.061,-179.945,-0.097,150.319143253,100,80
257,-124.675988472,68.1996481669,200.061,-179.945,-0.097,151.313391237,100,80
258,-123.9675083,68.4968274535,200.061,-179.945,-0.097,152.307639222,100,80
259,-123.264302163,68.8062138142,200.061,-179.945,-0.097,153.301887207,100,80
260,-122.566580356,69.1277137168,200.061,-179.945,-0.097,154.296135192,100,80
261,-121.874551521,69.4612300062,200.061,-179.945,-0.097,155.290383177,100,80
262,-121.188422576,69.8066619347,200.061,-179.945,-0.097,156.284631161,100,80
263,-120.50839866,70.1639051916,200.061,-179.945,-0.097,157.278879146,100,80
264,-119.834683067,70.5328519355,200.061,-179.945,-0.097,158.273127131,100,80
265,-119.167477187,70.9133908263,200.061,-179.945,-0.097,159.267375116,100,80
266,-118.506980448,71.3054070589,200.061,-179.945,-0.097,160.261623101,100,80
267,-117.853390251,71.708782398,200.061,-179.945,-0.097,161.255871085,100,80
268,-117.206901916,72.1233952137,200.061,-179.945,-0.097,162.25011907,100,80
269,-116.567708623,72.549120518,200.061,-179.945,-0.097,163.244367055,100,80
270,-115.93600135,72.9858300026,200.061,-179.945,-0.097,164.23861504,100,80
271,-115.311968822,73.4333920779,200.061,-179.945,-0.097,165.232863025,100,80
272,-114.695797449,73.891671912,200.061,-179.945,-0.097,166.227111009,100,80
273,-114.087671277,74.3605314717,200.061,-179.945,-0.097,167.221358994,100,80
